날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Sep 04, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5357,,38,,0.709%,$66.52,,$1.7505263,$0.0,6,111.987%,0.89,$59.4
"Sep 04, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,4723,,52,,1.101%,$30.44,,$0.5853846,$0.0,7,26.607999999999997%,3.76,$114.4
"Sep 05, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,6712,,40,,0.596%,$58.5,,$1.4625,$0.0,8,71.16799999999999%,1.41,$82.2
"Sep 05, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_Carrot_Brand/General_260901,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,1111,,10,,0.8999999999999999%,$9.31,,$0.9309999999999999,$0.0,3,16.42%,6.09,$56.7
"Sep 05, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_RICE_260713,Amazon,미국,ENABLED,USD,$105.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,8542,,66,,0.773%,$75.8,,$1.1484847999999999,$0.0,8,83.023%,1.2,$91.3
"Sep 05, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5062,,58,,1.146%,$39.4,,$0.6793103,$0.0,7,39.959%,2.5,$98.6
"Sep 05, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,13803,,72,,0.522%,$63.21,,$0.8779167,$0.0,5,54.964999999999996%,1.82,$115.0
"Sep 06, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_Branded_260713,Amazon,미국,ENABLED,USD,$38.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5384,,62,,1.1520000000000001%,$37.79,,$0.6095161,$0.0,20,13.530000000000001%,7.39,$279.3
"Sep 06, 2026",2026_Portfolio,Sponsored Products,SP_KEYWORD_RICE_General_260713,Amazon,미국,ENABLED,USD,$57.0,수동 타겟팅,동적 입찰액 - 증액 및 감액,5640,,43,,0.762%,$58.92,,$1.3702326,$0.0,5,119.02999999999999%,0.84,$49.5
"Sep 06, 2026",2026_Portfolio,Sponsored Products,SP_AUTO_CARROT_260713,Amazon,미국,ENABLED,USD,$75.0,자동 타겟팅,동적 입찰액 - 증액 및 감액,19955,,71,,0.356%,$63.63,,$0.8961972,$0.0,6,59.191%,1.69,$107.5
